	level_0	index	Funktion	Ratsmitglied	Zutrittsberechtigte	document	page
26	26	10	Zenhäusern & Partner AG	Bäumle Martin, glp/ZH	Zenhäusern Martin	zutrittsberechtigte-nr.pdf	3
27	27	11	Piratenpartei		Ananiadis Jorgo	zutrittsberechtigte-nr.pdf	3
28	28	12	Invité(e)	Béglé Claude, PDC/VD	Wyden Guelpa Anja	zutrittsberechtigte-nr.pdf	3
29	29	13				zutrittsberechtigte-nr.pdf	3
30	30	14	Office des affaires extérieures, Etat de Vaud	Bendahan Samuel, PSS/VD	Rampazzo Aline Sara	zutrittsberechtigte-nr.pdf	3
31	31	15		Wyss Reto	Schweizerischer Gewerkschaftsbund (SGB)	zutrittsberechtigte-nr.pdf	3
32	33	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	4
33	35	3			Accrédités	zutrittsberechtigte-nr.pdf	4
34	37	5			Accreditati	zutrittsberechtigte-nr.pdf	4
35	40	8	Musikschaffende Schweiz	Bertschy Kathrin, glp/BE	Trummer Christoph	zutrittsberechtigte-nr.pdf	4
36	41	9	alliance F		Achermann Sophie	zutrittsberechtigte-nr.pdf	4
37	42	10	Schweizerischer Gewerbeverband sgv	Bigler Hans-Ulrich, FDP-Liberale/ZH	Kläy Dieter	zutrittsberechtigte-nr.pdf	4
38	43	11	Schweizerischer Baumeisterverband		Salzmann Bernhard	zutrittsberechtigte-nr.pdf	4
39	44	12	Stiftung für Konsumentenschutz	Birrer-Heimo Prisca, SP/LU	Stalder Sara	zutrittsberechtigte-nr.pdf	4
40	45	13	Collaborateur(rice) personnel(le)	Borloz Frédéric, PLR/VD	Miauton Philippe	zutrittsberechtigte-nr.pdf	4
41	46	14	Invité(e)		Aeby Pürro Chantal	zutrittsberechtigte-nr.pdf	4
42	47	15	Invité(e)	Bourgeois Jacques, PLR/FR	Egger Francis	zutrittsberechtigte-nr.pdf	4
43	48	16	Collaborateur(rice) personnel(le)		Halter Liliane	zutrittsberechtigte-nr.pdf	4
44	49	17	santésuisse	Brand Heinz, SVP/GR	Nold Rebetez Verena	zutrittsberechtigte-nr.pdf	4
45	50	18	Persönliche/r Mitarbeiter/in		Egger Beda	zutrittsberechtigte-nr.pdf	4
46	51	19		Bregy Philipp Matthias, CVPO/VS		zutrittsberechtigte-nr.pdf	4
47	52	20	Ecopolitics	Brélaz Daniel, PES/VD	Jakob Stefan	zutrittsberechtigte-nr.pdf	4
48	53	21	Fédération romande des consommateurs (FRC)		Michaud Gigon Sophie	zutrittsberechtigte-nr.pdf	4
49	54	0	Persönliche/r Mitarbeiter/in	Brunner Hansjörg, FDP-Liberale/TG	Rihm Manuela	zutrittsberechtigte-nr.pdf	5
50	55	1				zutrittsberechtigte-nr.pdf	5
51	56	2		Büchel Roland Rino, SVP/SG		zutrittsberechtigte-nr.pdf	5
52	57	3				zutrittsberechtigte-nr.pdf	5
53	58	4	UDC Vaud	Buffat Michaël, UDC/VD	Grangier Kevin	zutrittsberechtigte-nr.pdf	5
54	59	5				zutrittsberechtigte-nr.pdf	5
55	60	6	Invité(e)	Bühler Manfred, UDC/BE	Röthlisberger Claude	zutrittsberechtigte-nr.pdf	5
56	61	7	Association Spitex privée Suisse (ASPS)		Durst Marcel	zutrittsberechtigte-nr.pdf	5
57	62	8	Invité(e)	Bulliard-Marbach Christine, CVP/FR	Bulliard Daniel	zutrittsberechtigte-nr.pdf	5
58	63	9				zutrittsberechtigte-nr.pdf	5
59	64	10	Persönliche/r Mitarbeiter/in	Burgherr Thomas, SVP/AG	Gutersohn Thomas	zutrittsberechtigte-nr.pdf	5
60	65	11	Persönliche/r Mitarbeiter/in		Vögeli Urs	zutrittsberechtigte-nr.pdf	5
61	66	12	Persönliche/r Mitarbeiter/in	Burkart Thierry, FDP-Liberale/AG	Freiermuth Maja	zutrittsberechtigte-nr.pdf	5
62	67	13				zutrittsberechtigte-nr.pdf	5
63	68	14	Entwicklung Schweiz	Campell Duri, BDP/GR	Bürki Franziska	zutrittsberechtigte-nr.pdf	5
64	69	15				zutrittsberechtigte-nr.pdf	5
65	71	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	6
66	73	3			Accrédités	zutrittsberechtigte-nr.pdf	6
67	75	5			Accreditati	zutrittsberechtigte-nr.pdf	6
68	78	8	hotelleriesuisse	Candinas Martin, CVP/GR	Hans Christophe	zutrittsberechtigte-nr.pdf	6
69	79	9	LITRA		Böhlen René	zutrittsberechtigte-nr.pdf	6
70	80	10		Carobbio Guscetti Marina, SP/TI		zutrittsberechtigte-nr.pdf	6
71	81	11	Persönliche/r Mitarbeiter/in	Cattaneo Rocco, FDP-Liberale/TI	Pessina Camilla	zutrittsberechtigte-nr.pdf	6
72	82	12	Gast		Aeppli Alfred	zutrittsberechtigte-nr.pdf	6
73	83	13	Invité(e)	Chevalley Isabelle, pvl/VD	Seydoux Laurent	zutrittsberechtigte-nr.pdf	6
74	84	14	Farner Consulting AG		Frey Tim	zutrittsberechtigte-nr.pdf	6
75	85	15	Ordine dei Medici del Canton Ticino	Chiesa Marco, UDC/TI	Denti Franco Eugenio	zutrittsberechtigte-nr.pdf	6
76	86	16	Ospite		Margaroli Milco	zutrittsberechtigte-nr.pdf	6
77	87	17		Clottu Raymond, -/NE		zutrittsberechtigte-nr.pdf	6
78	88	18	Procap Suisse	Crottaz Brigitte, PSS/VD	Fischer Alex	zutrittsberechtigte-nr.pdf	6
79	89	19	furrerhugi AG et Fédération suisse des patients		Zurich Simon	zutrittsberechtigte-nr.pdf	6
80	90	20	Schweizer Tourismus-Verband	de Buman Dominique, PDC/FR	Gisi Barbara	zutrittsberechtigte-nr.pdf	6
81	91	21	Parlamentarische Gruppe Schweiz-Armenien		Shahinian Sarkis	zutrittsberechtigte-nr.pdf	6
82	92	0	Schweizerischer Gewerbeverband	de Courten Thomas, SVP/BL	Gfeller Kurt	zutrittsberechtigte-nr.pdf	7
83	93	1	Intergenerika		Müller Axel	zutrittsberechtigte-nr.pdf	7
84	94	2	Collaborateur(rice) personnel(le)	de la Reussille Denis, PdT/NE	Ioset Amanda	zutrittsberechtigte-nr.pdf	7
85	95	3				zutrittsberechtigte-nr.pdf	7
86	96	4	Economiesuisse	Derder Fathi, PLR/VD	Gaggini Cristina	zutrittsberechtigte-nr.pdf	7
87	97	5	Invité(e)		Balet Emery Chantal	zutrittsberechtigte-nr.pdf	7
88	98	6	Gast	Dettling Marcel, SVP/SZ	Lienert Monika	zutrittsberechtigte-nr.pdf	7
89	99	7				zutrittsberechtigte-nr.pdf	7
90	100	8		Dobler Marcel, FDP-Liberale/SG		zutrittsberechtigte-nr.pdf	7
91	101	9				zutrittsberechtigte-nr.pdf	7
92	102	10		Egger Mike, SVP/SG		zutrittsberechtigte-nr.pdf	7
93	103	11				zutrittsberechtigte-nr.pdf	7
94	104	12	Gast	Egger Thomas, CSPO/VS	Wyer Stefan	zutrittsberechtigte-nr.pdf	7
95	105	13				zutrittsberechtigte-nr.pdf	7
96	106	14	HEV Zürich	Egloff Hans, SVP/ZH	Leiser Albert	zutrittsberechtigte-nr.pdf	7
97	107	15		Meier Markus	HEV Schweiz	zutrittsberechtigte-nr.pdf	7
98	109	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	8
99	111	3			Accrédités	zutrittsberechtigte-nr.pdf	8
100	113	5			Accreditati	zutrittsberechtigte-nr.pdf	8
101	116	8	Migros-Genossenschaftsbund	Eichenberger-Walther Corina, FDP-	Schläpfer Martin	zutrittsberechtigte-nr.pdf	8
102	117	9		Liberale/AG		zutrittsberechtigte-nr.pdf	8
103	118	10	Farner Consulting AG		Heller Daniel	zutrittsberechtigte-nr.pdf	8
104	119	11		Estermann Yvette, SVP/LU		zutrittsberechtigte-nr.pdf	8
105	120	12	Persönliche/r Mitarbeiter/in	Eymann Christoph, LDP/BS	Thiriet Simon	zutrittsberechtigte-nr.pdf	8
106	121	13	Gast		Keller Gottlieb	zutrittsberechtigte-nr.pdf	8
107	122	14	Commission fédérale de la jeunesse	Fehlmann Rielle Laurence, PSS/GE	Kanaan Sami	zutrittsberechtigte-nr.pdf	8
108	123	15	GREA-Groupement Romand d'Etudes des Addictions		Savary Jean-Félix	zutrittsberechtigte-nr.pdf	8
109	124	16		Feller Olivier, PLR/VD		zutrittsberechtigte-nr.pdf	8
110	125	17	Schweizerischer Gewerkschaftsbund SGB	Feri Yvonne, SP/AG	Bühlmann Regula	zutrittsberechtigte-nr.pdf	8
111	126	18	Persönliche/r Mitarbeiter/in	Fiala Doris, FDP-Liberale/ZH	Lustenberger Chiara	zutrittsberechtigte-nr.pdf	8
112	127	19	Persönliche/r Mitarbeiter/in		Blank Tamara Carolina	zutrittsberechtigte-nr.pdf	8
113	128	20	Flach Consulting GmbH (u. persönlicher Mitarbeiter B.Flach)	Flach Beat, glp/AG	Kaeppeli Michel	zutrittsberechtigte-nr.pdf	8
114	129	21	interpharma iph		Weidmann Yves Samuel	zutrittsberechtigte-nr.pdf	8
115	131	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	9
116	133	3			Accrédités	zutrittsberechtigte-nr.pdf	9
117	135	5			Accreditati	zutrittsberechtigte-nr.pdf	9
118	138	8	Persönliche/r Mitarbeiter/in	Flückiger-Bäni Sylvia, SVP/AG	Horber Ruedi	zutrittsberechtigte-nr.pdf	9
119	139	9	Lignum Holzwirtschaft Schweiz		Starck Christoph	zutrittsberechtigte-nr.pdf	9
120	140	10	Verband der Schweizerischen Gasindustrie	Fluri Kurt, FDP-Liberale/SO	Schmid Michael	zutrittsberechtigte-nr.pdf	9
121	141	11	Schweizerischer Städteverband		Schneeberger Paul	zutrittsberechtigte-nr.pdf	9
122	142	12	Corporate Affairs, Nestlé Suisse	Frehner Sebastian, SVP/BS	Britt Jean-Christophe	zutrittsberechtigte-nr.pdf	9
123	143	13	Elternbildung CH	Frei Daniel, glp/ZH	Melone Daniela	zutrittsberechtigte-nr.pdf	9
124	144	14	Médecins de famille suisse	Fridez Pierre-Alain, PSS/JU	Wiesli Reto	zutrittsberechtigte-nr.pdf	9
125	145	15	Réflexion Santé Suisse		Konrad Christelle	zutrittsberechtigte-nr.pdf	9
126	146	16	Alliance sud	Friedl Claudia, SP/SG	Schmassmann Eva	zutrittsberechtigte-nr.pdf	9
127	147	17	Hausverein Schweiz		Wittwer Jürg	zutrittsberechtigte-nr.pdf	9
128	148	18	Gast	Geissbühler Andrea Martina, SVP/BE	Geissbühler Michael	zutrittsberechtigte-nr.pdf	9
129	149	19	Verband Schweizerischer Polizei-Beamter		Bundi Ryser Johanna	zutrittsberechtigte-nr.pdf	9
130	150	20	Invité(e)	Genecand Benoît, PLR/GE	Notz Genecand Corinne	zutrittsberechtigte-nr.pdf	9
131	152	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	10
132	154	3			Accrédités	zutrittsberechtigte-nr.pdf	10
133	156	5			Accreditati	zutrittsberechtigte-nr.pdf	10
134	159	8	ASTAG	Giezendanner Ulrich, SVP/AG	Kirchhofer André	zutrittsberechtigte-nr.pdf	10
135	160	9	Persönliche/r Mitarbeiter/in		Zeltner Thomas	zutrittsberechtigte-nr.pdf	10
136	161	10	WWF Schweiz	Girod Bastien, GPS/ZH	Hofstetter Patrick	zutrittsberechtigte-nr.pdf	10
137	162	11	VBSA		Quartier Robin	zutrittsberechtigte-nr.pdf	10
138	163	12	Regierungsrat des Kantons Luzern	Glanzmann-Hunkeler Ida, CVP/LU	Graf Guido	zutrittsberechtigte-nr.pdf	10
139	164	13	Gast		Glanzmann Jonas	zutrittsberechtigte-nr.pdf	10
140	165	14	Persönliche/r Mitarbeiter/in	Glarner Andreas, SVP/AG	Steiner Simone	zutrittsberechtigte-nr.pdf	10
141	166	15	Alliance Sud	Glättli Balthasar, GPS/ZH	Staudenmann Jürg	zutrittsberechtigte-nr.pdf	10
142	167	16	Schweizerischer MieterInnenverband SMV		Imboden Natalie	zutrittsberechtigte-nr.pdf	10
143	168	17	Collaborateur(rice) personnel(le)	Glauser-Zufferey Alice, UDC/VD	Ziehli Yohan	zutrittsberechtigte-nr.pdf	10
144	169	18	Invité(e)		Simon Paul-André	zutrittsberechtigte-nr.pdf	10
145	170	19	GastroSuisse	Gmür Alois, CVP/SZ	Platzer Casimir	zutrittsberechtigte-nr.pdf	10
146	171	20	Schweizer Brauerei-Verband		Kreber Marcel	zutrittsberechtigte-nr.pdf	10
147	172	21	Communicators	Gmür-Schönenberger Andrea, CVP/LU	Bühler Adrian	zutrittsberechtigte-nr.pdf	10
148	173	0	Collaborateur(rice) personnel(le)	Golay Roger, MCG/GE	Mayer Patrick	zutrittsberechtigte-nr.pdf	11
149	174	1	Collaborateur(rice) personnel(le)		Baertschi François	zutrittsberechtigte-nr.pdf	11
150	175	2	Schweizerischer Gewerbeverband sgv	Gössi Petra, FDP-Liberale/SZ	Davatz-Höchner Christine	zutrittsberechtigte-nr.pdf	11
151	176	3				zutrittsberechtigte-nr.pdf	11
152	177	4	Bio Suisse	Graf Maya, GPS/BL	Bossard Martin	zutrittsberechtigte-nr.pdf	11
153	178	5	Brot für alle		Goethe Christina	zutrittsberechtigte-nr.pdf	11
154	179	6	ewz	Graf-Litscher Edith, SP/TG	Graf Harry	zutrittsberechtigte-nr.pdf	11
155	180	7	Köhler, Stüdeli & Partner GmbH		Stüdeli Walter	zutrittsberechtigte-nr.pdf	11
156	181	8	Biofluels Schweiz	Grin Jean-Pierre, UDC/VD	Frei Ulrich	zutrittsberechtigte-nr.pdf	11
157	182	9	Invité(e)		Nicod Gérald	zutrittsberechtigte-nr.pdf	11
158	183	10	Verband Schweizerischer Elektrizitätsunternehmen (VSE)	Grossen Jürg, glp/BE	Frank Michael	zutrittsberechtigte-nr.pdf	11
159	184	11	Verband Schweizerischer Elektro-Installationsfirmen (VSEI)		Kopp Laura	zutrittsberechtigte-nr.pdf	11
160	185	12	Galenica AG	Grunder Hans, BDP/BE	Köpe Christian	zutrittsberechtigte-nr.pdf	11
161	186	13				zutrittsberechtigte-nr.pdf	11
162	187	14	Gast	Grüter Franz, SVP/LU	Grüter Luzia	zutrittsberechtigte-nr.pdf	11
163	188	15		Felice-Tanner Susanne	Persönliche/r Mitarbeiter/in	zutrittsberechtigte-nr.pdf	11
164	189	0	Gast	Gschwind Jean-Paul, PDC/JU	Glauser Peter	zutrittsberechtigte-nr.pdf	12
165	190	1	Collaborateur(rice) personnel(le)		Heim Karl J.	zutrittsberechtigte-nr.pdf	12
166	191	2	BirdLife Schweiz	Gugger Niklaus-Samuel, EVP/ZH	Müller Werner	zutrittsberechtigte-nr.pdf	12
167	192	3				zutrittsberechtigte-nr.pdf	12
168	193	4	Swisscom AG	Guhl Bernhard, BDP/AG	Kilchenmann Stefan	zutrittsberechtigte-nr.pdf	12
169	194	5	Verband Schweizerischer Polizeibeamter		Hofmann Max	zutrittsberechtigte-nr.pdf	12
170	195	6		Gutjahr Diana, SVP/TG		zutrittsberechtigte-nr.pdf	12
171	196	7				zutrittsberechtigte-nr.pdf	12
172	197	8	Schweizerischer Berufsverband Pflegefachfrauen und -männer	Gysi Barbara, SP/SG	Ribi Yvonne	zutrittsberechtigte-nr.pdf	12
173	198	9	Personalverband des Bundes		Wicki Janine	zutrittsberechtigte-nr.pdf	12
174	199	10		Haab Martin, SVP/ZH		zutrittsberechtigte-nr.pdf	12
175	200	11				zutrittsberechtigte-nr.pdf	12
176	201	12	Gast	Hadorn Philipp, SP/SO	Walder Annette	zutrittsberechtigte-nr.pdf	12
177	202	13	Gewerkschaft des Verkehrspersonals		Lehmann Daniela	zutrittsberechtigte-nr.pdf	12
178	203	14	Dachverbband Schweizerischer Patientenstellen	Hardegger Thomas, SP/ZH	Ziltener Erika	zutrittsberechtigte-nr.pdf	12
179	204	15		Gassmann Fabio	Alpeninitiative	zutrittsberechtigte-nr.pdf	12
180	205	0	swisscleantech	Hausammann Markus, SVP/TG	Novak Martina	zutrittsberechtigte-nr.pdf	13
181	206	1				zutrittsberechtigte-nr.pdf	13
182	207	2	Gast	Heer Alfred, SVP/ZH	Segert Alexander	zutrittsberechtigte-nr.pdf	13
183	208	3	Addfluence GmbH		Brunner Susanne	zutrittsberechtigte-nr.pdf	13
184	209	4	Caritas Schweiz	Heim Bea, SP/SO	Flügel Martin	zutrittsberechtigte-nr.pdf	13
185	210	5				zutrittsberechtigte-nr.pdf	13
186	211	6	Persönliche/r Mitarbeiter/in	Herzog Verena, SVP/TG	Wüthrich Hans-Peter	zutrittsberechtigte-nr.pdf	13
187	212	7	Privatkliniken Schweiz / Hirslanden AG		Martin Urs	zutrittsberechtigte-nr.pdf	13
188	213	8	Gast	Hess Erich, SVP/BE	Herzig David	zutrittsberechtigte-nr.pdf	13
189	214	9				zutrittsberechtigte-nr.pdf	13
190	215	10	furrerhugi.ag	Hess Lorenz, BDP/BE	Beutler Nicole	zutrittsberechtigte-nr.pdf	13
191	216	11	Swisscom AG		Nünlist Stefan	zutrittsberechtigte-nr.pdf	13
192	217	12	Invité(e)	Hiltpold Hugues, PLR/GE	Maudet Pierre	zutrittsberechtigte-nr.pdf	13
193	218	13	Canton de Genève		Schurch Florence	zutrittsberechtigte-nr.pdf	13
194	219	14		Humbel Ruth, CVP/AG		zutrittsberechtigte-nr.pdf	13
195	220	15				zutrittsberechtigte-nr.pdf	13
196	221	0	Gast	Hurter Thomas, SVP/SH	Stamm Hurter Cornelia	zutrittsberechtigte-nr.pdf	14
197	222	1				zutrittsberechtigte-nr.pdf	14
198	223	2	Gast	Imark Christian, SVP/SO	Imark-Schmidhalter Carmen	zutrittsberechtigte-nr.pdf	14
199	224	3	Gastro Suisse		Borner Daniel	zutrittsberechtigte-nr.pdf	14
200	225	4	ecos AG	Jans Beat, SP/BS	Wiener Daniel	zutrittsberechtigte-nr.pdf	14
201	226	5	Schweizerische Energie-Stiftung		Epprecht Nils	zutrittsberechtigte-nr.pdf	14
202	227	6	Persönliche/r Mitarbeiter/in	Jauslin Matthias Samuel, FDP-Liberale/AG	Jauslin Livia	zutrittsberechtigte-nr.pdf	14
203	228	7				zutrittsberechtigte-nr.pdf	14
204	229	8	SuisseCulture	Kälin Irène, GPS/AG	Läubli Hans	zutrittsberechtigte-nr.pdf	14
205	230	9	Gast		De Schepper Werner	zutrittsberechtigte-nr.pdf	14
206	231	10		Keller Peter, SVP/NW		zutrittsberechtigte-nr.pdf	14
207	232	11				zutrittsberechtigte-nr.pdf	14
208	233	12		Keller-Inhelder Barbara, SVP/SG		zutrittsberechtigte-nr.pdf	14
209	234	13				zutrittsberechtigte-nr.pdf	14
210	235	14	Schweizerischer Gewerkschaftsbund	Kiener Nellen Margret, SP/BE	Heim Dore	zutrittsberechtigte-nr.pdf	14
211	236	15		Tomisawa Sacra	ELLIPS	zutrittsberechtigte-nr.pdf	14
212	237	0		Knecht Hansjörg, SVP/AG		zutrittsberechtigte-nr.pdf	15
213	238	1				zutrittsberechtigte-nr.pdf	15
214	239	2	Gast	Köppel Roger, SVP/ZH	Zollinger Kurt Heinrich	zutrittsberechtigte-nr.pdf	15
215	240	3				zutrittsberechtigte-nr.pdf	15
216	241	4	Pro Familia Schweiz	Kutter Philipp, CVP/ZH	Dürr Lucius	zutrittsberechtigte-nr.pdf	15
217	242	5				zutrittsberechtigte-nr.pdf	15
218	243	6	foraus	Landolt Martin, BDP/GL	Forster Nicola	zutrittsberechtigte-nr.pdf	15
219	244	7	Axpo Holding AG		Weibel Alena	zutrittsberechtigte-nr.pdf	15
220	245	8		Lohr Christian, CVP/TG		zutrittsberechtigte-nr.pdf	15
221	246	9				zutrittsberechtigte-nr.pdf	15
222	247	10	Invité(e)	Lüscher Christian, PLR/GE	Singh Auroi Varuna	zutrittsberechtigte-nr.pdf	15
223	248	11	Invité(e)		Chabloz Jean-Claude	zutrittsberechtigte-nr.pdf	15
224	249	12	Travail.Suisse	Maire Jacques-André, PSS/NE	Fischer Gabriel	zutrittsberechtigte-nr.pdf	15
225	250	13	Invité(e)		Geiser Ernest	zutrittsberechtigte-nr.pdf	15
226	251	14		Marchand-Balet Géraldine, PDC/VS		zutrittsberechtigte-nr.pdf	15
227	252	15				zutrittsberechtigte-nr.pdf	15
228	254	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	16
229	256	3			Accrédités	zutrittsberechtigte-nr.pdf	16
230	258	5			Accreditati	zutrittsberechtigte-nr.pdf	16
231	261	8	polsan AG / Jungfreisinnige	Markwalder Christa, FDP-Liberale/BE	Berger Thomas	zutrittsberechtigte-nr.pdf	16
232	262	9	Persönliche/r Mitarbeiter/in		Maier Elias	zutrittsberechtigte-nr.pdf	16
233	263	10		Marra Ada, PSS/VD		zutrittsberechtigte-nr.pdf	16
234	264	11	NEBS	Marti Min Li, SP/ZH	Wegmüller Lukas	zutrittsberechtigte-nr.pdf	16
235	265	12	Pro Velo Schweiz		Merkli Christoph	zutrittsberechtigte-nr.pdf	16
236	266	13	Kinderlobby	Marti Samira, SP/BL	Estermann Linda	zutrittsberechtigte-nr.pdf	16
237	267	14	Kinderlobby		Bloch Yael	zutrittsberechtigte-nr.pdf	16
238	268	15	Persönliche/r Mitarbeiter/in	Martullo-Blocher Magdalena, SVP/GR	Gericke Conrad	zutrittsberechtigte-nr.pdf	16
239	269	16	Persönliche/r Mitarbeiter/in		Lier Marco	zutrittsberechtigte-nr.pdf	16
240	270	17	Persönliche/r Mitarbeiter/in	Masshardt Nadine, SP/BE	Hirschi Jonas	zutrittsberechtigte-nr.pdf	16
241	271	18	Persönliche/r Mitarbeiter/in	Matter Thomas, SVP/ZH	Würth Martina Teresa	zutrittsberechtigte-nr.pdf	16
242	272	19	Gast		Frauenfelder Fabian	zutrittsberechtigte-nr.pdf	16
243	273	20	Gruppe für eine Schweiz ohne Armee (GSoA)	Mazzone Lisa, PES/GE	Lempert Lewin	zutrittsberechtigte-nr.pdf	16
244	274	21	WWF Suisse		Dayer Océane	zutrittsberechtigte-nr.pdf	16
245	276	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	17
246	278	3			Accrédités	zutrittsberechtigte-nr.pdf	17
247	280	5			Accreditati	zutrittsberechtigte-nr.pdf	17
248	283	8	Collaboratore/trice personale	Merlini Giovanni, FDP-Liberale/TI	Speziali Alessandro	zutrittsberechtigte-nr.pdf	17
249	284	9	Collaboratore/trice personale		Pini Verio Dante	zutrittsberechtigte-nr.pdf	17
250	285	10	Alliance Sud	Meyer Mattea, SP/ZH	Gross Dominik	zutrittsberechtigte-nr.pdf	17
251	286	11	Schweizerischer Gewerkschaftsbund		Lampart Daniel	zutrittsberechtigte-nr.pdf	17
252	287	12	AvenirSocial	Molina Fabian, SP/ZH	Grob Annina	zutrittsberechtigte-nr.pdf	17
253	288	13	Nomes		Bez Raphaël	zutrittsberechtigte-nr.pdf	17
254	289	14	Collaborateur(rice) personnel(le)	Moret Isabelle, PLR/VD	Lörtscher Philippe	zutrittsberechtigte-nr.pdf	17
255	290	15	Collaborateur(rice) personnel(le)		Maillard Mathilde	zutrittsberechtigte-nr.pdf	17
256	291	16	Alliance F	Moser Tiana Angelina, glp/ZH	Zuber Jessica	zutrittsberechtigte-nr.pdf	17
257	292	17	Operation Libero		Kleiner Flavia	zutrittsberechtigte-nr.pdf	17
258	293	18	Raiffeisen Schweiz Genossenschaft	Müller Leo, CVP/LU	Perina-Werz Alexandra	zutrittsberechtigte-nr.pdf	17
259	294	19	Solar Agentur Schweiz		Cadonau Gallus	zutrittsberechtigte-nr.pdf	17
260	295	20	HEV Schweiz	Müller Thomas, SVP/SG	Sommer Monika	zutrittsberechtigte-nr.pdf	17
261	296	21	Touring Club Schweiz		Zumbühl Rudolf	zutrittsberechtigte-nr.pdf	17
262	297	22	Persönliche/r Mitarbeiter/in	Müller Walter, FDP-Liberale/SG	Müller Ottilia	zutrittsberechtigte-nr.pdf	17
263	299	1			Zutrittsberechtigte	zutrittsberechtigte-nr.pdf	18
264	301	3			Accrédités	zutrittsberechtigte-nr.pdf	18
265	303	5			Accreditati	zutrittsberechtigte-nr.pdf	18
266	306	8	Migros Genossenschaftsbund	Müller-Altermatt Stefan, CVP/SO	Maurer Jürg	zutrittsberechtigte-nr.pdf	18
267	307	9	Schweizer Musikrat		Kunz Stefano	zutrittsberechtigte-nr.pdf	18
268	308	10	Swisspower AG	Munz Martina, SP/SH	Flückiger Jan	zutrittsberechtigte-nr.pdf	18
269	309	11	Tierschutz		Flückiger Stefan	zutrittsberechtigte-nr.pdf	18
270	310	12	Gast	Müri Felix, SVP/LU	Gurtner Miriam	zutrittsberechtigte-nr.pdf	18
271	311	13	Persönliche/r Mitarbeiter/in	Naef Martin, SP/ZH	Huber Patrick Hadi	zutrittsberechtigte-nr.pdf	18
272	312	14	Alliance Sud		Herkenrath Marc	zutrittsberechtigte-nr.pdf	18
273	313	15	Collaborateur(rice) personnel(le)	Nantermod Philippe, PLR/VS	Vernay André	zutrittsberechtigte-nr.pdf	18
274	314	16	Centre patronal		Kuonen Martin Marcel	zutrittsberechtigte-nr.pdf	18
275	315	17	Prometerre	Nicolet Jacques, UDC/VD	Thomas Luc	zutrittsberechtigte-nr.pdf	18
